Name,Code,RegDate,LastClose,Pivot,Bottom,LastIntStart,LastIntEnd,LastIntPeriod,T,Breakout,BreakoutDate,NewInterval
한일시멘트,300720,2025-02-07,15170,15490,14960,2025-02-06,2025-02-07,2,4,False,,False
한일시멘트,300720,2025-02-10,15040,15490,14960,2025-02-06,2025-02-10,5,4,False,,False
한일시멘트,300720,2025-02-11,14940,15490,14920,2025-02-06,2025-02-11,6,4,False,,False
한일시멘트,300720,2025-02-18,16200,16500,15910,2025-02-14,2025-02-18,5,5,False,,False
한일시멘트,300720,2025-02-19,15950,16500,15800,2025-02-14,2025-02-19,6,5,False,,False
한일시멘트,300720,2025-02-20,16020,16500,15600,2025-02-14,2025-02-20,7,5,False,,False
한일시멘트,300720,2025-02-21,15920,16500,15600,2025-02-14,2025-02-21,8,5,False,,False
한일시멘트,300720,2025-02-24,15830,16500,15600,2025-02-14,2025-02-24,11,5,False,,False
한일시멘트,300720,2025-02-25,15910,15930,15750,2025-02-24,2025-02-25,2,6,False,,False
한일시멘트,300720,2025-02-26,16020,16150,15700,2025-02-24,2025-02-26,3,6,False,,False
한일시멘트,300720,2025-03-07,16200,16400,15870,2025-03-06,2025-03-07,2,3,False,,False
한화에어로스페이스,012450,2025-01-24,411500,399500,378000,2025-01-21,2025-01-23,3,5,True,2025-01-24,False
현대그린푸드,453340,2025-03-20,14380,14430,14030,2025-03-20,2025-03-20,1,4,False,,True
현대그린푸드,453340,2025-03-25,14500,14640,14030,2025-03-20,2025-03-25,6,5,False,,False
현대그린푸드,453340,2025-03-26,14800,14810,14450,2025-03-26,2025-03-26,1,5,False,,True
현대그린푸드,453340,2025-03-27,14280,14810,14280,2025-03-26,2025-03-27,2,6,False,,False
현대그린푸드,453340,2025-03-28,14430,14840,14280,2025-03-26,2025-03-28,3,6,False,,False
현대로템,064350,2025-03-10,92300,94300,89200,2025-03-10,2025-03-10,1,3,False,,True
현대모비스,012330,2025-01-24,263500,265000,259000,2025-01-24,2025-01-24,1,4,False,,True
현대모비스,012330,2025-02-26,256500,259000,254000,2025-02-25,2025-02-26,2,3,False,,False
현대모비스,012330,2025-02-27,260500,260500,255000,2025-02-27,2025-02-27,1,3,False,,True
현대모비스,012330,2025-02-28,245500,260500,245000,2025-02-25,2025-02-28,4,3,False,,False
현대엘리베이,017800,2025-02-19,56100,57700,54900,2025-02-18,2025-02-19,2,3,False,,False
현대엘리베이,017800,2025-02-20,55200,57700,54900,2025-02-18,2025-02-20,3,3,False,,False
현대엘리베이,017800,2025-02-24,54500,55200,54000,2025-02-21,2025-02-24,4,4,False,,False
현대엘리베이,017800,2025-02-25,55000,55200,53600,2025-02-21,2025-02-25,5,4,False,,False
현대엘리베이,017800,2025-02-26,56600,57000,54700,2025-02-26,2025-02-26,1,4,False,,True
현대엘리베이,017800,2025-02-28,55000,57200,55000,2025-02-27,2025-02-28,2,5,False,,False
현대엘리베이,017800,2025-03-13,55300,56100,53300,2025-03-13,2025-03-13,1,4,False,,True
현대엘리베이,017800,2025-03-19,55900,56700,55100,2025-03-18,2025-03-19,2,5,False,,False
현대엘리베이,017800,2025-03-20,54200,56700,54100,2025-03-18,2025-03-20,3,5,False,,False
현대엘리베이,017800,2025-03-21,54400,56700,54100,2025-03-18,2025-03-21,4,5,False,,False
현대엘리베이,017800,2025-03-24,55100,56700,53300,2025-03-18,2025-03-24,7,5,False,,False
현대엘리베이,017800,2025-03-25,54700,56700,53300,2025-03-18,2025-03-25,8,5,False,,False
현대엘리베이,017800,2025-03-26,54100,56700,53300,2025-03-18,2025-03-26,9,5,False,,False
현대엘리베이,017800,2025-03-27,56400,56700,53300,2025-03-18,2025-03-27,10,5,False,,False
현대엘리베이,017800,2025-03-28,55200,56700,53300,2025-03-18,2025-03-28,11,5,False,,False
현대지에프홀딩스,005440,2025-02-11,5050,5190,4930,2025-02-06,2025-02-11,6,5,False,,False
현대지에프홀딩스,005440,2025-02-12,5020,5190,4930,2025-02-06,2025-02-12,7,5,False,,False
현대지에프홀딩스,005440,2025-02-13,4980,5190,4930,2025-02-06,2025-02-13,8,5,False,,False
현대지에프홀딩스,005440,2025-02-14,4990,5190,4930,2025-02-06,2025-02-14,9,5,False,,False
현대지에프홀딩스,005440,2025-02-17,5090,5190,4930,2025-02-06,2025-02-17,12,5,False,,False
현대지에프홀딩스,005440,2025-02-18,5100,5130,5000,2025-02-17,2025-02-18,2,6,False,,False
현대지에프홀딩스,005440,2025-02-19,5140,5140,5000,2025-02-17,2025-02-19,3,6,False,,False
현대지에프홀딩스,005440,2025-02-20,5220,5140,5000,2025-02-17,2025-02-19,3,6,True,2025-02-20,False
